FPR	TPR	Tissue	Treshold
0.772727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.129545	0.977273	Heart_-_Atrial_Appendage	0.000124
0.770455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.193182	0.977273	Heart_-_Atrial_Appendage	0.000003
0.570455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.902273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.934091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.488636	Heart_-_Atrial_Appendage	0.011069
0.331818	0.988636	Heart_-_Atrial_Appendage	0.000000
0.986364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.045455	0.954545	Heart_-_Atrial_Appendage	0.002341
0.288636	0.988636	Heart_-_Atrial_Appendage	0.000000
0.556818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.431818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.172727	0.977273	Heart_-_Atrial_Appendage	0.000013
0.022727	0.897727	Heart_-_Atrial_Appendage	0.006149
0.059091	0.954545	Heart_-_Atrial_Appendage	0.001443
0.540909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.404545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.047727	0.954545	Heart_-_Atrial_Appendage	0.002054
0.038636	0.943182	Heart_-_Atrial_Appendage	0.002919
0.900000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.636364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.854545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.865909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.225000	0.977273	Heart_-_Atrial_Appendage	0.000000
0.088636	0.977273	Heart_-_Atrial_Appendage	0.000451
0.000000	0.284091	Heart_-_Atrial_Appendage	0.011209
0.247727	0.988636	Heart_-_Atrial_Appendage	0.000000
0.000000	0.375000	Heart_-_Atrial_Appendage	0.011160
0.963636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.063636	0.965909	Heart_-_Atrial_Appendage	0.001192
0.238636	0.988636	Heart_-_Atrial_Appendage	0.000000
0.618182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.161364	0.977273	Heart_-_Atrial_Appendage	0.000027
0.345455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.627273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.306818	0.988636	Heart_-_Atrial_Appendage	0.000000
0.322727	0.988636	Heart_-_Atrial_Appendage	0.000000
0.675000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.768182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.690909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.004545	0.852273	Heart_-_Atrial_Appendage	0.008719
0.015909	0.897727	Heart_-_Atrial_Appendage	0.006829
0.163636	0.977273	Heart_-_Atrial_Appendage	0.000025
0.004545	0.818182	Heart_-_Atrial_Appendage	0.009048
0.875000	1.000000	Heart_-_Atrial_Appendage	0.000000
0.913636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.634091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.090909	0.977273	Heart_-_Atrial_Appendage	0.000450
0.488636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.659091	Heart_-_Atrial_Appendage	0.010625
0.011364	0.863636	Heart_-_Atrial_Appendage	0.007607
0.395455	0.988636	Heart_-_Atrial_Appendage	0.000000
0.629545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.665909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.513636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.720455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.647727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.765909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.104545	0.977273	Heart_-_Atrial_Appendage	0.000320
0.988636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.136364	Heart_-_Atrial_Appendage	0.011299
0.543182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.343182	0.988636	Heart_-_Atrial_Appendage	0.000000
0.611364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.879545	1.000000	Heart_-_Atrial_Appendage	0.000000
0.497727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.631818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.272727	0.988636	Heart_-_Atrial_Appendage	0.000000
0.763636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.640909	1.000000	Heart_-_Atrial_Appendage	0.000000
0.938636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.054545	0.954545	Heart_-_Atrial_Appendage	0.001567
0.984091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.093182	0.977273	Heart_-_Atrial_Appendage	0.000447
0.595455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.559091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.668182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.888636	1.000000	Heart_-_Atrial_Appendage	0.000000
0.645455	1.000000	Heart_-_Atrial_Appendage	0.000000
0.359091	0.988636	Heart_-_Atrial_Appendage	0.000000
0.702273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.715909	Heart_-_Atrial_Appendage	0.010147
0.240909	0.988636	Heart_-_Atrial_Appendage	0.000000
0.000000	0.034091	Heart_-_Atrial_Appendage	0.011342
0.011364	0.875000	Heart_-_Atrial_Appendage	0.007317
0.847727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.836364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.143182	0.977273	Heart_-_Atrial_Appendage	0.000050
0.581818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.200000	0.977273	Heart_-_Atrial_Appendage	0.000001
0.406818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.000000	0.147727	Heart_-_Atrial_Appendage	0.011298
0.918182	1.000000	Heart_-_Atrial_Appendage	0.000000
0.761364	1.000000	Heart_-_Atrial_Appendage	0.000000
0.759091	1.000000	Heart_-_Atrial_Appendage	0.000000
0.329545	0.988636	Heart_-_Atrial_Appendage	0.000000
0.022727	0.931818	Heart_-_Atrial_Appendage	0.005448
0.677273	1.000000	Heart_-_Atrial_Appendage	0.000000
0.159091	0.977273	Heart_-_Atrial_Appendage	0.000031
0.572727	1.000000	Heart_-_Atrial_Appendage	0.000000
0.906818	1.000000	Heart_-_Atrial_Appendage	0.000000
0.122727	0.977273	Heart_-_Atrial_Appendage	0.000153
0.045455	0.943182	Heart_-_Atrial_Appendage	0.002510
0.000000	0.545455	Heart_-_Atrial_Appendage	0.010895
