ratio	counts
0.15696887686062247	24210
0.15764546684709066	24221
0.15832205683355885	24238
0.15899864682002707	24248
0.15967523680649526	24264
0.16035182679296348	24277
0.16102841677943167	24287
0.16170500676589986	24298
0.16238159675236807	24317
0.16305818673883626	24331
0.16373477672530445	24346
0.16441136671177267	24358
0.16508795669824086	24373
0.16576454668470908	24387
0.16644113667117727	24402
0.16711772665764546	24415
0.16779431664411368	24429
0.16847090663058187	24445
0.16914749661705006	24457
0.16982408660351828	24471
0.17050067658998647	24481
0.17117726657645466	24492
0.17185385656292287	24506
0.17253044654939106	24517
0.17320703653585928	24529
0.17388362652232747	24538
0.17456021650879566	24551
0.17523680649526388	24567
0.17591339648173207	24577
0.17658998646820026	24594
0.17726657645466848	24604
0.17794316644113667	24620
0.17861975642760486	24623
0.17929634641407308	24638
