FPR	TPR	Tissue	Treshold
0.646970	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000009
0.975758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.313636	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000651
0.063636	0.563636	Brain_-_Putamen_(Basal_Ganglia)	0.005028
0.459091	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000161
0.328788	0.945455	Brain_-_Putamen_(Basal_Ganglia)	0.000571
0.037879	0.472727	Brain_-_Putamen_(Basal_Ganglia)	0.006488
0.298485	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000747
0.627273	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000014
0.351515	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000459
0.416667	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000292
0.751515	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.272727	0.927273	Brain_-_Putamen_(Basal_Ganglia)	0.000900
0.424242	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000275
0.792424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.927273	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.475758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000129
0.781818	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.418182	0.981818	Brain_-_Putamen_(Basal_Ganglia)	0.000282
0.101515	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003329
0.492424	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000106
0.978788	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.550000	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000046
0.707576	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000001
0.404545	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000314
0.506061	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000092
0.478788	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000126
0.122727	0.800000	Brain_-_Putamen_(Basal_Ganglia)	0.002686
0.666667	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000005
0.748485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.739394	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.525758	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000068
0.004545	0.163636	Brain_-_Putamen_(Basal_Ganglia)	0.010498
0.486364	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000115
0.077273	0.690909	Brain_-_Putamen_(Basal_Ganglia)	0.003993
0.089394	0.690909	Brain_-_Putamen_(Basal_Ganglia)	0.003564
0.472727	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000131
0.162121	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002067
0.157576	0.818182	Brain_-_Putamen_(Basal_Ganglia)	0.002103
0.645455	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000009
0.619697	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000015
0.106061	0.709091	Brain_-_Putamen_(Basal_Ganglia)	0.003249
0.181818	0.854545	Brain_-_Putamen_(Basal_Ganglia)	0.001691
0.534848	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000059
0.998485	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.395455	0.963636	Brain_-_Putamen_(Basal_Ganglia)	0.000356
0.856061	1.000000	Brain_-_Putamen_(Basal_Ganglia)	0.000000
0.009091	0.218182	Brain_-_Putamen_(Basal_Ganglia)	0.009732
